C00166348|01012017|750|280|176254
C00193433|01022017|250|10|5150
C00028787|01032017|500|78|39470
C00193433|01042017|250|43|122108
C00484584|01052017|208|57|36757
C00003855|01062017|2500|121|48886
C00087478|01072017|115|31|10904
C00224717|01082017|250|20|7525
C00618140|01092017|-75|33|21233
C00028787|01102017|1250|101|60569
C00028787|01112017|500|84|64155
C00028787|01122017|500|125|66912
C00477299|01132017|205|155|85995
C00354332|01142017|300|51|16918
C00435321|01152017|291|58|14837
C00254953|01162017|250|92|44221
C00003855|01172017|2000|98|62546
C00003855|01182017|1000|170|230468
C00484584|01192017|208|81|67246
C00003855|01202017|250|351|121414
C00087478|01212017|115|57|19925
C00097865|01222017|1000|84|63101
C00097865|01232017|1000|196|130919
C00003855|01242017|5000|201|122018
C00003855|01252017|1501|117|77929
C00003855|01262017|1500|144|96428
C00003855|01272017|4000|186|79018
C00354332|01282017|800|65|22236
C00224717|01292017|425|42|10488
C00003855|01302017|750|150|101408
C00141218|01312017|576|2068|989917
C00618140|02032017|-38|1|-38
C00619494|10172016|1000|1|1000
C00619494|10282016|1000|1|1000
C00619494|11012016|500|1|500
C00619494|11042016|500|2|1000
C00619577|12022016|100|1|100
C00619577|12132016|1000|1|1000
C00574954|12302016|750|1|750
